F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
21.599,21.906,22.973,21.476
21.618,22.133,19.408,18.541
21.622,24.13,22.888,23.781
21.623,23.963,22.69,23.461
21.634,22.076,22.674,21.573
21.634,21.962,22.643,20.288
21.635,22.37,22.619,19.148
21.636,19.393,24.141,22.084
21.639,21.35,24.422,22.754
21.639,20.955,23.076,21.476
21.64,23.846,22.718,22.002
21.646,22.49,21.816,18.783
21.648,21.772,22.354,23.379
21.659,18.666,20.655,21.968
21.661,22.154,21.794,22.7
21.666,21.309,23.997,22.007
21.666,21.257,22.349,21.503
21.668,22.926,21.102,22.207
21.673,22.878,23.62,23.628
21.678,21.095,23.368,21.049
21.684,22.123,23.026,21.089
21.685,23.398,21.279,22.111
21.686,22.289,22.899,22.344
21.686,21.825,23.046,23.759
21.694,21.33,23.316,22.58
21.699,23.225,21.847,21.143
21.701,23.582,22.61,22.869
21.705,22.488,19.593,22.996
21.722,21.006,21.567,22.478
21.722,21.761,21.391,22.079
21.723,22.831,21.99,20.57
21.729,22.05,22.016,20.925
21.735,22.444,23.475,22.102
21.739,20.955,21.74,20.183
21.746,22.529,22.406,22.318
21.755,22.974,24.628,22.707
21.757,23.08,23.412,21.845
21.762,20.761,23.189,23.082
21.762,23.003,22.045,22.966
21.769,20.031,22.964,21.978
21.774,21.481,23.946,21.864
21.774,22.049,22.235,20.05
21.787,21.37,22.503,22.122
21.79,21.45,22.208,23.623
21.791,21.292,23.067,22.883
21.806,22.593,23.735,22.494
21.807,21.683,22.982,19.404
21.807,19.754,23.467,21.835
21.808,21.86,23.506,20.347
21.814,22.316,21.617,22.462
21.818,19.578,22.53,24.297
21.827,23.893,22.467,21.003
21.827,20.111,24.309,21.871
21.827,19.529,20.291,21.127
21.831,22.373,23.854,19.225
21.835,21.845,22.069,22.923
21.84,22.407,22.168,23.956
21.841,22.337,21.72,19.408
21.842,20.813,23.746,22.423
21.843,22.172,21.374,21.313
21.843,21.194,22.347,22.68
21.844,22.284,23.665,23.599
21.846,23.265,21.633,22.68
21.85,22.064,22.387,22.541
21.851,21.374,22.755,23.884
21.854,22.869,23.04,22.313
21.854,22.374,23.548,19.947
21.861,21.114,23.709,21.759
21.863,20.213,22.74,20.96
21.864,22.772,24.121,21.631
21.866,22.933,23.083,21.458
21.866,21.067,23.728,20.182
21.868,21.44,22.125,22.532
21.871,23.664,22.352,22.429
21.873,19.668,22.176,20.85
21.881,23.285,20.058,22.783
21.884,21.022,24.286,20.774
21.887,22.082,22.663,21.329
21.89,22.797,22.383,19.299
21.895,22.613,24.075,23.31
21.911,21.726,22.013,21.791
21.911,23.323,19.126,21.49
21.912,22.411,23.653,22.024
21.922,22.14,21.282,20.504
21.923,19.294,22.193,21.939
21.923,21.668,20.984,21.312
21.924,23.334,22.455,22.552
21.93,23.828,23.496,20.98
21.931,20.136,22.269,22.768
21.944,23.005,22.547,21.06
21.944,23.703,20.203,21.981
21.946,20.553,21.034,22.001
21.946,22.537,24.299,22.375
21.948,20.982,22.528,19.134
21.95,23.474,24.462,22.002
21.953,21.912,22.706,22.486
21.957,22.097,21.41,22.409
21.957,22.577,21.859,21.348
21.961,22.949,22.863,20.29
21.966,22.235,23.499,20.694
21.968,22.735,22.331,22.18
21.971,23.151,20.364,22.576
21.978,20.035,20.349,20.175
21.98,19.643,22.82,21.962
21.985,22.403,22.54,21.383
21.986,21.56,20.862,21.808
21.991,21.69,22.723,22.658
22.002,22.348,22.037,21.109
22.002,21.803,22.129,20.303
22.002,19.166,23.168,22.917
22.006,22.751,22.043,22.758
22.012,21.96,23.36,21.887
22.014,21.281,23.261,20.958
22.02,22.019,23.649,21.166
22.021,23.145,22.473,20.989
22.022,19.02,21.779,20.622
22.024,23.308,19.057,21.086
22.025,19.665,24.32,22.873
22.025,22.161,23.049,22.319
22.027,21.81,20.408,20.222
22.029,21.36,22.829,21.619
22.029,21.991,23.55,19.837
22.03,21.603,21.456,21.023
22.041,21.189,21.342,22.911
22.061,21.462,23.613,23.439
22.067,21.253,24.325,20.156
22.067,20.555,20.336,20.386
22.068,22.387,21.896,20.087
22.069,21.084,23.775,21.948
22.071,21.226,23.907,21.803
22.075,20.529,23.303,21.476
22.075,22.837,23.496,21.964
22.075,21.118,22.318,22.164
22.082,22.976,21.74,22.694
22.085,23.321,21.008,20.228
22.087,22.428,23.372,22.543
22.092,24.427,22.15,21.841
22.093,23.643,22.52,22.769
22.094,22.446,21.415,21.458
22.099,23.091,23.228,21.341
22.102,22.643,23.427,23.016
22.103,20.336,22.215,23.194
22.103,21.902,21.809,21.473
22.106,19.988,23.528,22.969
22.107,21.683,22.906,23.662
22.117,21.219,23.594,23.501
22.123,21.977,24.363,23.295
22.124,22.163,22.812,21.49
22.126,23.115,21.554,22.236
22.129,23.743,23.131,17.947
22.132,22.184,22.707,21.545
22.133,22.523,19.466,21.569
22.138,20.958,22.109,21.462
22.148,23.1,24.043,23.167
22.15,22.415,19.741,21.325
22.152,21.704,22.246,21.037
22.153,22.062,21.458,21.33
22.16,23.313,21.655,21.933
22.161,20.013,21.329,22.428
22.169,21.991,22.169,21.565
22.172,20.699,22.62,22.615
22.174,18.605,23.085,21.837
22.175,21.957,24.165,20.917
22.179,22.342,24.591,20.286
22.186,21.458,23.174,22.045
22.187,22.362,21.632,22.509
22.188,22.56,21.297,20.601
22.193,22.252,23.118,21.717
22.196,23.879,20.85,21.245
22.198,23.647,22.202,20.185
22.199,22.79,23.283,22.438
22.199,23.784,22.524,20.597
22.208,20.865,21.618,24.207
22.217,21.731,21.709,21.848
22.217,22.091,22.058,23.064
22.219,21.318,21.744,21.675
22.22,22.149,24.537,20.633
22.22,23.539,22.467,23.229
22.222,23.278,19.035,22.353
22.224,17.475,22.851,19.261
22.228,23.19,23.078,21.117
22.228,20.904,21.049,19.839
22.235,21.613,22.951,21.28
22.236,23.01,23.525,19.325
22.237,23.937,23.152,24.096
22.237,21.236,22.874,22.552
22.246,22.511,22.273,22.933
22.248,22.54,21.349,22.239
22.248,21.733,22.622,21.231
22.249,22.952,22.362,19.384
22.251,22.222,23.387,23.243
22.254,22.323,20.16,21.058
22.255,21.467,21.632,19.908
22.266,21.081,20.896,22.504
22.268,22.092,21.007,20.487
22.271,22.82,23.892,21.371
22.273,24.337,21.69,22.089
22.276,22.834,21.722,21.462
22.28,22.282,23.825,21.29
22.281,22.989,22.173,22.405
22.281,23.77,21.205,22.978
22.282,22.446,22.763,23.505
22.294,23.779,21.519,23.7
22.295,22.794,22.081,20.195
22.295,22.511,23.158,23.178
22.298,21.681,22.456,20.92
22.303,22.83,21.31,22.499
22.31,23.355,22.097,21.262
22.31,22.763,21.685,23.34
22.316,20.911,23.626,21.989
22.316,21.276,21.003,23.127
22.319,20.945,21.809,20.102
22.327,22.298,24.262,19.668
22.337,23.268,23.223,21.309
22.343,22.339,22.907,21.937
22.343,20.071,21.964,24.037
22.344,22.591,21.945,22.049
22.344,21.74,24.332,20.095
22.347,20.947,22.152,19.836
22.349,21.969,20.742,23.105
22.351,21.381,23.555,20.933
22.354,21.681,19.494,21.638
22.36,22.224,24.249,21.844
22.362,20.59,22.12,21.075
22.363,23.162,18.64,20.686
22.364,22.325,21.484,21.99
22.366,19.505,20.334,22.336
22.366,20.706,22.448,22.393
22.368,21.149,23.242,20.122
22.371,23.704,22.549,20.992
22.371,22.297,22.963,22.251
22.371,21.453,21.08,21.493
22.38,23.081,23.231,22.62
22.383,21.885,22.941,22.703
22.384,23.762,21.807,20.845
22.387,21.861,22.826,23.552
22.388,24.384,24.118,22.402
22.389,21.596,20.248,21.959
22.393,22.623,21.513,20.91
22.395,21.21,22.199,21.035
22.396,23.181,22.09,20.759
22.398,21.676,21.81,21.894
22.399,21.75,22.532,24.33
22.403,19.748,23.855,20.982
22.406,21.711,22.323,20.253
22.409,22.799,21.898,21.363
22.409,22.868,21.952,21.406
22.414,23.675,23.183,23.223
22.416,20.016,22.321,19.633
22.417,23.045,23.101,20.563
22.417,21.722,21.957,23.01
22.421,22.421,23.652,20.552
22.421,21.831,22.19,22.029
22.426,21.408,21.374,23.441
22.429,22.083,22.094,23.774
22.43,21.31,23.702,21.055
22.433,21.238,23.054,22.518
22.437,19.887,22.122,22.725
22.437,22.07,17.905,21.969
22.439,22.543,23.601,22.882
22.446,20.157,21.055,22.501
22.451,20.58,22.999,22.329
22.453,21.371,24.088,21.512
22.461,22.942,21.33,23.17
22.462,22.484,22.062,24.077
22.464,21.43,20.789,21.748
22.467,23.758,23.077,23.265
22.47,22.14,23.152,21.971
22.47,21.426,22.622,22.453
22.472,20.745,18.429,22.352
22.475,23.399,20.859,21.822
22.478,22.72,24.348,21.343
22.481,23.309,22.296,22.923
22.482,22.516,24.061,20.315
22.484,22.613,22.75,22.851
22.492,22.16,24.126,20.363
22.493,21.397,21.953,22.558
22.498,23.002,20.393,21.026
22.499,20.97,19.341,21.263
22.5,22.18,23.676,21.979
22.507,21.483,22.948,20.214
22.51,22.502,22.002,22.981
22.515,22.488,23.446,22.095
22.527,22.707,22.139,21.888
22.53,22.191,22.128,22.645
22.53,21.703,22.81,21.044
22.531,21.851,24.877,22.704
22.533,22.148,22.161,22.211
22.534,23.322,23.139,21.816
22.534,22.343,22.429,23.019
22.537,19.305,22.397,22.041
22.542,20.506,22.412,21.716
22.543,22.308,22.79,21.329
22.548,21.466,23.891,19.451
22.554,20.563,20.246,22.092
22.56,22.314,23.172,20.02
22.561,23.241,22.646,20.715
22.562,19.842,21.117,21.538
22.565,20.287,23.725,22.155
22.565,23.204,21.422,22.303
22.567,22.215,22.54,21.392
22.57,23.73,22.66,22.513
22.573,20.837,24.327,21.723
22.578,20.386,20.411,21.987
22.579,22.203,21.934,21.359
22.58,22.398,21.327,23.73
22.58,22.589,20.898,21.68
22.588,19.699,19.105,22.277
22.589,21.47,22.613,22.97
22.589,22.125,22.105,23.165
22.591,22.556,22.887,21.645
22.593,21.92,21.458,20.03
22.593,23.552,21.949,23.716
22.597,23.904,21.931,20.908
22.599,20.1,19.565,21.756
22.6,23.21,24.513,23.017
22.601,21.807,21.903,19.871
22.605,18.934,24.043,24.446
22.605,23.216,22.552,24.167
22.606,21.927,22.899,22.909
22.609,21.806,22.213,21.334
22.612,22.436,22.028,20.926
22.615,21.295,20.48,21.645
22.617,20.831,22.38,23.497
22.62,22.146,22.541,22.531
22.626,20.242,22.378,22.188
22.626,22.229,20.004,21.739
22.628,22.437,23.698,22.294
22.632,21.577,22.001,20.69
22.633,22.635,21.744,21.816
22.64,23.198,22.894,22.029
22.642,19.954,21.144,22.333
22.644,19.935,22.327,19.867
